"Lon" "Lat" "Smith2014" "Smith2014.name"
"406" -158.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"407" -158.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"408" -158.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"409" -158.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"410" -158.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"411" -158.25 63.75 4 "Boreal Evergreen Forest/Woodland"
"412" -158.25 64.25 4 "Boreal Evergreen Forest/Woodland"
"413" -158.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"414" -158.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"415" -158.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"416" -158.25 66.25 4 "Boreal Evergreen Forest/Woodland"
"417" -158.25 66.75 4 "Boreal Evergreen Forest/Woodland"
"418" -158.25 67.25 13 "Arctic/Alpine Tundra"
"419" -158.25 67.75 15 "Dry Grassland"
"420" -158.25 68.25 17 "Desert"
"421" -158.25 68.75 17 "Desert"
"422" -158.25 69.25 17 "Desert"
"423" -158.25 69.75 17 "Desert"
"424" -158.25 70.25 17 "Desert"
"425" -158.25 70.75 17 "Desert"
"426" -157.75 56.75 4 "Boreal Evergreen Forest/Woodland"
"427" -157.75 57.25 4 "Boreal Evergreen Forest/Woodland"
"428" -157.75 58.75 4 "Boreal Evergreen Forest/Woodland"
"429" -157.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"430" -157.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"431" -157.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"432" -157.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"433" -157.75 61.25 4 "Boreal Evergreen Forest/Woodland"
"434" -157.75 61.75 4 "Boreal Evergreen Forest/Woodland"
"435" -157.75 62.25 4 "Boreal Evergreen Forest/Woodland"
"436" -157.75 62.75 4 "Boreal Evergreen Forest/Woodland"
"437" -157.75 63.25 4 "Boreal Evergreen Forest/Woodland"
"438" -157.75 63.75 4 "Boreal Evergreen Forest/Woodland"
"439" -157.75 64.25 4 "Boreal Evergreen Forest/Woodland"
"440" -157.75 64.75 4 "Boreal Evergreen Forest/Woodland"
"441" -157.75 65.25 4 "Boreal Evergreen Forest/Woodland"
"442" -157.75 65.75 4 "Boreal Evergreen Forest/Woodland"
"443" -157.75 66.25 4 "Boreal Evergreen Forest/Woodland"
"444" -157.75 66.75 4 "Boreal Evergreen Forest/Woodland"
"445" -157.75 67.25 13 "Arctic/Alpine Tundra"
"446" -157.75 67.75 15 "Dry Grassland"
"447" -157.75 68.25 17 "Desert"
"448" -157.75 68.75 17 "Desert"
"449" -157.75 69.25 17 "Desert"
"450" -157.75 69.75 17 "Desert"
"451" -157.75 70.25 17 "Desert"
"452" -157.75 70.75 17 "Desert"
"453" -157.25 56.75 4 "Boreal Evergreen Forest/Woodland"
"454" -157.25 57.25 4 "Boreal Evergreen Forest/Woodland"
"455" -157.25 57.75 4 "Boreal Evergreen Forest/Woodland"
"456" -157.25 58.25 4 "Boreal Evergreen Forest/Woodland"
"457" -157.25 58.75 4 "Boreal Evergreen Forest/Woodland"
"458" -157.25 59.25 4 "Boreal Evergreen Forest/Woodland"
"459" -157.25 59.75 4 "Boreal Evergreen Forest/Woodland"
"460" -157.25 60.25 4 "Boreal Evergreen Forest/Woodland"
"461" -157.25 60.75 4 "Boreal Evergreen Forest/Woodland"
"462" -157.25 61.25 4 "Boreal Evergreen Forest/Woodland"
"463" -157.25 61.75 4 "Boreal Evergreen Forest/Woodland"
"464" -157.25 62.25 4 "Boreal Evergreen Forest/Woodland"
"465" -157.25 62.75 4 "Boreal Evergreen Forest/Woodland"
"466" -157.25 63.25 4 "Boreal Evergreen Forest/Woodland"
"467" -157.25 63.75 4 "Boreal Evergreen Forest/Woodland"
"468" -157.25 64.25 4 "Boreal Evergreen Forest/Woodland"
"469" -157.25 64.75 4 "Boreal Evergreen Forest/Woodland"
"470" -157.25 65.25 4 "Boreal Evergreen Forest/Woodland"
"471" -157.25 65.75 4 "Boreal Evergreen Forest/Woodland"
"472" -157.25 66.25 4 "Boreal Evergreen Forest/Woodland"
"473" -157.25 66.75 4 "Boreal Evergreen Forest/Woodland"
"474" -157.25 67.25 13 "Arctic/Alpine Tundra"
"475" -157.25 67.75 15 "Dry Grassland"
"476" -157.25 68.25 17 "Desert"
"477" -157.25 68.75 17 "Desert"
"478" -157.25 69.25 17 "Desert"
"479" -157.25 69.75 17 "Desert"
"480" -157.25 70.25 17 "Desert"
"481" -157.25 70.75 17 "Desert"
"482" -156.75 57.25 4 "Boreal Evergreen Forest/Woodland"
"483" -156.75 57.75 4 "Boreal Evergreen Forest/Woodland"
"484" -156.75 58.25 4 "Boreal Evergreen Forest/Woodland"
"485" -156.75 58.75 4 "Boreal Evergreen Forest/Woodland"
"486" -156.75 59.25 4 "Boreal Evergreen Forest/Woodland"
"487" -156.75 59.75 4 "Boreal Evergreen Forest/Woodland"
"488" -156.75 60.25 4 "Boreal Evergreen Forest/Woodland"
"489" -156.75 60.75 4 "Boreal Evergreen Forest/Woodland"
"490" -156.75 61.25 4 "Boreal Evergreen Forest/Woodland"
